Year,CO2_Antarctic_Ice_Cores,
1850,284.0,
1851,285.5,
1853,288.1,
1854,285.6,
1856,283.2,
1858,286.6,
1861,287.2,
1862,285.4,
1864,286.7,
1866,285.1,
1867,288.0,
1868,289.5,
1869,288.0,
1870,286.3,
1872,286.7,
1873,291.6,
1876,289.3,
1879,287.8,
1882,292.5,
1883,289.8,
1884,289.2,
1885,288.1,
1887,294.3,
1889,292.3,
1892,294.9,
1893,293.8,
1898,295.3,
1900,294.2,
1901,295.6,
1903,296.0,
1905,297.3,
1908,301.5,
1909,297.9,
1910,298.1,
1911,299.3,
1912,301.3,
1914,300.7,
1915,301.9,
1917,303.9,
1918,304.6,
1919,301.9,
1922,303.2,
1924,304.7,
1925,305.0,
1927,308.0,
1928,305.8,
1929,305.4,
1930,305.7,
1932,305.9,
1933,307.1,
1935,309.3,
1936,307.4,
1937,311.5,
1938,311.9,
1939,311.2,
1940,311.8,
1941,312.4,
1942,312.8,
1943,312.4,
1944,311.3,
1945,312.6,
1946,312.9,
1947,311.6,
1948,309.7,
1949,313.7,
1950,312.0,
1952,312.2,
1953,313.2,
1954,314.7,
1956,315.3,
1957,316.3,
1958,316.3,
1959,316.0,
1960,316.9,
1961,317.6,
1962,318.5,
1963,319.1,
1964,319.6,
1965,320.0,
1966,321.4,
1967,322.2,
1968,323.1,
1969,324.6,
1970,324.6,
1971,326.3,
1972,327.5,
1973,329.7,
1974,330.2,
1975,331.1,
1976,332.0,
1977,333.8,
1978,335.4,
1979,336.8,
1980,338.8,
1981,340.1,
1982,341.5,
1983,341.3,
1984,342.1,
1985,343.1,
1986,344.7,
1987,345.4,
1988,349.3,
1989,350.8,
1990,354.5,
1991,355.7,
1992,356.5,
1993,357.2,
1994,359.0,
1995,361.0,
1996,362.7,
1997,363.9,
1998,361.8,
1999,368.5,
2000,369.7,
2001,371.3,
2003,376.0,
2004,377.7,
2005,380.0,
2006,382.1,
2007,384.0,
2008,385.8,
2009,387.6,
2010,390.1,
2011,391.9,
2012,394.1,
2013,396.7,
2014,398.8,
2015,401.0,
2016,404.4,
2017,406.8,
2018,408.7,
2019,411.7,
2020,414.2,
2021,416.4,
2022,418.5,
2023,421.1,